ty staré jablka (3.p.),den alten Äpfeln,
ty staré jablka (4.p.),die alten Äpfel,
ta červená postel (1.p.),das rote Bett,
ta červená postel (2.p.),des roten Bettes,
ta červená postel (3.p.),dem roten Bett,
ta červená postel (4.p.),das rote Bett,
ty černé postele (1.p.),die schwarzen Betten,
ty černé postele (2.p.),der schwarzen Betten,
ty černé postele (3.p.),den schwarzen Betten,
ty černé postele (4.p.),die schwarzen Betten,
ta krátká otázka (1.p.),die kurze Frage,
ta krátká otázka (2.p.),der kurzen Frage,
ta krátká otázka (3.p.),der kurzen Frage,
ta krátká otázka (4.p.),die kurze Frage,
ty staré otázky (1.p.),die alten Fragen,
ty staré otázky (2.p.),der alten Fragen,
ty staré otázky (3.p.),den alten Fragen,
ty staré otázky (4.p.),die alten Fragen,
ten mladý učitel (1.p.),der junge Lehrer,
ten mladý učitel (2.p.),des jungen Lehrers, "Lehrer končí na -er genitiv se tvoří jen přidáním -s des Lehrers "
ten mladý učitel (3.p.),dem jungen Lehrer,
ten mladý učitel (4.p.),den jungen Lehrer,
ti staří učitelé (1.p.),die alten Lehrer,
ti staří učitelé (2.p.),der alten Lehrer,
ti staří učitelé (3.p.),den alten Lehrern,
ti staří učitelé (4.p.),die alten Lehrer,
ten černý obrázek (1.p.),das schwarze Bild,
ten černý obrázek (2.p.),des schwarzen Bildes,
ten černý obrázek (3.p.),dem schwarzen Bild,
ten černý obrázek (4.p.),das schwarze Bild,
ty staré obrázky (1.p.),die alten Bilder,
ty staré obrázky (2.p.),der alten Bilder,
ty staré obrázky (3.p.),den alten Bildern,
ty staré obrázky (4.p.),die alten Bilder,
ta černá lampa (1.p.),die schwarze Lampe,
ta černá lampa (2.p.),der schwarzen Lampe,
ta černá lampa (3.p.),der schwarzen Lampe,
ta černá lampa (4.p.),die schwarze Lampe,
ty malé lampy (1.p.),die kleinen Lampen,
ty malé lampy (2.p.),der kleinen Lampen,
ty malé lampy (3.p.),den kleinen Lampen,
ty malé lampy (4.p.),die kleinen Lampen,
ten starý stůl (1.p.),der alte Tisch,
ten starý stůl (2.p.),des alten Tisches,
ten starý stůl (3.p.),dem alten Tisch,
ten starý stůl (4.p.),den alten Tisch,
ti mladí lékaři (1.p.),die jungen Ärzte,
ti mladí lékaři (2.p.),der jungen Ärzte,
ti mladí lékaři (3.p.),den jungen Ärzten,
ti mladí lékaři (4.p.),die jungen Ärzte,
ta krátká postel (1.p.),das kurze Bett,
ta krátká postel (2.p.),des kurzen Bettes,
ta krátká postel (3.p.),dem kurzen Bett,
ta krátká postel (4.p.),das kurze Bett,
ty staré postele (1.p.),die alten Betten,
ty staré postele (2.p.),der alten Betten,
ty staré postele (3.p.),den alten Betten,
ty staré postele (4.p.),die alten Betten,
ta krátká adresa (1.p.),die kurze Adresse,
ta krátká adresa (2.p.),der kurzen Adresse,
ta krátká adresa (3.p.),der kurzen Adresse,
ta krátká adresa (4.p.),die kurze Adresse,
ty černé lampy (1.p.),die schwarzen Lampen,
ty černé lampy (2.p.),der schwarzen Lampen,
ty černé lampy (3.p.),den schwarzen Lampen,
ty černé lampy (4.p.),die schwarzen Lampen,
