to jméno (1.p.);der Name;Nominativ - smíšená N-deklinace (mužský rod, přestože český překlad je střední)
to jméno (2.p.);des Namens;Zvláštnost slova 'Name': v genitivu přibírá -ns, ne jen -n
to jméno (3.p.);dem Namen;Ve 3. p. má 'Name' běžnou koncovku -n jako ostatní N-deklinace
to jméno (4.p.);den Namen;Ve 4. p. rovněž koncovka -n
ten drahý vůz (1.p.);der teure Wagen;Adjektivum 'teuer' vypouští před koncovkou -e prostřední 'e' kmene (teuer -> teure)
ten drahý vůz (2.p.);des teuren Wagens;Stejné vypuštění 'e' u adjektiva + koncovka -s u podstatného jména Wagen
ten drahý vůz (3.p.);dem teuren Wagen;Adjektivum má tvar 'teuren' (slabá deklinace po členu), kmenové 'e' zůstává vypuštěné
ten drahý vůz (4.p.);den teuren Wagen;Stejný princip vypuštění 'e' v akuzativu
ty drahé vozy (1.p.);die teuren Wagen;Plurál: adjektivum 'teuren', podstatné jméno 'Wagen' beze změny (končí na -en)
ty drahé vozy (2.p.);der teuren Wagen;Genitiv plurálu: podstatné jméno se nemění, protože už končí na -n
ty drahé vozy (3.p.);den teuren Wagen;Dativ plurálu: Wagen již končí na -n, další -n se nepřidává
ty drahé vozy (4.p.);die teuren Wagen;Akuzativ plurálu shodný s nominativem
ten tmavý pokoj (1.p.);das dunkle Zimmer;Adjektivum 'dunkel' vypouští prostřední 'e' před koncovkou (dunkel -> dunkle)
ten tmavý pokoj (2.p.);des dunklen Zimmers;Vypuštění 'e' u adjektiva + běžná koncovka -s u středního rodu v genitivu
ten tmavý pokoj (3.p.);dem dunklen Zimmer;Adjektivum 'dunklen' se stejným vypuštěním 'e' jako v ostatních pádech
ten tmavý pokoj (4.p.);das dunkle Zimmer;Střední rod: akuzativ je shodný s nominativem
ty tmavé pokoje (1.p.);die dunklen Zimmer;Plurál: adjektivum 'dunklen', podstatné jméno beze změny
ty tmavé pokoje (2.p.);der dunklen Zimmer;Genitiv plurálu beze změny podstatného jména
ty tmavé pokoje (3.p.);den dunklen Zimmern;Dativ plurálu: podstatné jméno přibírá koncovku -n (Zimmern)
ty tmavé pokoje (4.p.);die dunklen Zimmer;Akuzativ plurálu shodný s nominativem
ta vysoká věž (1.p.);der hohe Turm;Adjektivum 'hoch' mění kmen na 'hoh-' při jakékoli koncovce
ta vysoká věž (2.p.);des hohen Turms;Stejná změna kmene 'hoh-' + koncovka -s u podstatného jména Turm
ta vysoká věž (3.p.);dem hohen Turm;Adjektivum 'hohen' se stejnou změnou kmene ve 3. p.
ta vysoká věž (4.p.);den hohen Turm;Změna kmene 'hoh-' zůstává i ve 4. p.
ty vysoké věže (1.p.);die hohen Türme;Plurál podstatného jména s přehláskou (Turm -> Türme)
ty vysoké věže (2.p.);der hohen Türme;Genitiv plurálu beze změny tvaru podstatného jména
ty vysoké věže (3.p.);den hohen Türmen;Dativ plurálu přibírá koncovku -n (Türmen)
ty vysoké věže (4.p.);die hohen Türme;Akuzativ plurálu shodný s nominativem
ta událost (1.p.);das Ereignis;Nominativ - podstatné jméno středního rodu zakončené na -nis
ta událost (2.p.);des Ereignisses;Podstatná jména na -nis zdvojují v genitivu koncové -s (Ereignis -> Ereignisses)
ta událost (3.p.);dem Ereignis;Ve 3. p. jednotného čísla zůstává základní tvar bez koncovky
ta událost (4.p.);das Ereignis;Akuzativ středního rodu shodný s nominativem
ty události (1.p.);die Ereignisse;Plurál se tvoří koncovkou -e (Ereignis -> Ereignisse)
ty události (2.p.);der Ereignisse;Genitiv plurálu shodný s nominativem plurálu
ty události (3.p.);den Ereignissen;Dativ plurálu přibírá -n, zdvojené -ss zůstává (Ereignissen)
ty události (4.p.);die Ereignisse;Akuzativ plurálu shodný s nominativem
to muzeum (1.p.);das Museum;Nominativ - neutrum cizího (latinského) původu na -um
to muzeum (2.p.);des Museums;Slova na -um mají v genitivu jen koncovku -s, ne -es
to muzeum (3.p.);dem Museum;Ve 3. p. jednotného čísla se tvar nemění
to muzeum (4.p.);das Museum;Akuzativ středního rodu shodný s nominativem
ta muzea (1.p.);die Museen;Nepravidelný plurál: koncovka -um se nahrazuje -en (Museum -> Museen)
ta muzea (2.p.);der Museen;Genitiv plurálu shodný s nominativem plurálu
ta muzea (3.p.);den Museen;Dativ plurálu: tvar už končí na -n, nic se nepřidává
ta muzea (4.p.);die Museen;Akuzativ plurálu shodný s nominativem
ten otec (1.p.);der Vater;Nominativ - silné maskulinum zakončené na -er
ten otec (2.p.);des Vaters;Podstatná jména na -er/-el přibírají v genitivu jen -s, ne -es
ten otec (3.p.);dem Vater;Ve 3. p. jednotného čísla zůstává základní tvar
ten otec (4.p.);den Vater;Akuzativ jednotného čísla shodný s nominativem tvaru podstatného jména
ti otcové (1.p.);die Väter;Plurál se tvoří pouze přehláskou, bez přidání koncovky (Vater -> Väter)
ti otcové (2.p.);der Väter;Genitiv plurálu shodný s nominativem plurálu
ti otcové (3.p.);den Vätern;Dativ plurálu přibírá koncovku -n (Vätern)
ti otcové (4.p.);die Väter;Akuzativ plurálu shodný s nominativem
ta univerzita (1.p.);die Universität;Nominativ - pravidelné femininum na -tät
ta univerzita (2.p.);der Universität;Feminina se v jednotném čísle nemění, mění se pouze člen (der)
ta univerzita (3.p.);der Universität;Dativ i genitiv feminin singuláru mají stejný tvar 'der'
ta univerzita (4.p.);die Universität;Akuzativ feminina singuláru shodný s nominativem
ty univerzity (1.p.);die Universitäten;Plurál se tvoří koncovkou -en (Universität -> Universitäten)
ty univerzity (2.p.);der Universitäten;Genitiv plurálu shodný s nominativem plurálu
ty univerzity (3.p.);den Universitäten;Dativ plurálu: tvar už končí na -n, nic se nepřidává
ty univerzity (4.p.);die Universitäten;Akuzativ plurálu shodný s nominativem
to srdce (1.p.);das Herz;Nominativ - nepravidelné neutrum
to srdce (2.p.);des Herzens;'Herz' je nepravidelné: genitiv přibírá koncovku -ens
to srdce (3.p.);dem Herzen;'Herz' je nepravidelné: dativ přibírá koncovku -en
to srdce (4.p.);das Herz;Akuzativ je na rozdíl od genitivu a dativu shodný se základním tvarem nominativu
