Čeština,Němčina,Vysvětlení
žádná muzea (4.p.),keine Museen,Akuzativ plurálu shodný s nominativem
nějaký otec (1.p.),ein Vater,Nominativ - silné maskulinum zakončené na -er
nějaký otec (2.p.),eines Vaters,"Podstatná jména na -er/-el přibírají v genitivu jen -s, ne -es"
nějaký otec (3.p.),einem Vater,Ve 3. p. jednotného čísla zůstává základní tvar
nějaký otec (4.p.),einen Vater,Akuzativ jednotného čísla shodný s nominativem tvaru podstatného jména
žádní otcové (1.p.),keine Väter,"Plurál se tvoří pouze přehláskou, bez přidání koncovky"
žádní otcové (2.p.),keiner Väter,Genitiv plurálu záporu 'kein' -er
žádní otcové (3.p.),keinen Vätern,Dativ plurálu přibírá koncovku -n (Vätern)
žádní otcové (4.p.),keine Väter,Akuzativ plurálu shodný s nominativem
nějaká univerzita (1.p.),eine Universität,Nominativ - pravidelné femininum na -tät
nějaká univerzita (2.p.),einer Universität,"Feminina se v jednotném čísle nemění, mění se pouze člen"
nějaká univerzita (3.p.),einer Universität,Dativ i genitiv feminina singuláru mají stejný tvar členu 'einer'
nějaká univerzita (4.p.),eine Universität,Akuzativ feminina singuláru shodný s nominativem
žádné univerzity (1.p.),keine Universitäten,Plurál se tvoří koncovkou -en
žádné univerzity (2.p.),keiner Universitäten,Genitiv plurálu záporu 'kein' -er
žádné univerzity (3.p.),keinen Universitäten,"Dativ plurálu: tvar už končí na -n, nic se nepřidává"
žádné univerzity (4.p.),keine Universitäten,Akuzativ plurálu shodný s nominativem
nějaké srdce (1.p.),ein Herz,Nominativ - nepravidelné neutrum
nějaké srdce (2.p.),eines Herzens,'Herz' je nepravidelné: genitiv přibírá koncovku -ens
nějaké srdce (3.p.),einem Herzen,'Herz' je nepravidelné: dativ přibírá koncovku -en
nějaké srdce (4.p.),ein Herz,Akuzativ je na rozdíl od genitivu a dativu shodný se základním tvarem nominativu
