(nějací) staří učitelé (4.p.);alte Lehrer;
nějaký černý obrázek (1.p.);ein schwarzes Bild;
nějaký černý obrázek (2.p.);eines schwarzen Bildes;
nějaký černý obrázek (3.p.);einem schwarzen Bild;
nějaký černý obrázek (4.p.);ein schwarzes Bild;
(nějaké) staré obrázky (1.p.);alte Bilder;
(nějaké) staré obrázky (2.p.);alter Bilder;
(nějaké) staré obrázky (3.p.);alten Bildern;
(nějaké) staré obrázky (4.p.);alte Bilder;
nějaká černá lampa (1.p.);eine schwarze Lampe;
nějaká černá lampa (2.p.);einer schwarzen Lampe;
nějaká černá lampa (3.p.);einer schwarzen Lampe;
nějaká černá lampa (4.p.);eine schwarze Lampe;
(nějaké) malé lampy (1.p.);kleine Lampen;
(nějaké) malé lampy (2.p.);kleiner Lampen;
(nějaké) malé lampy (3.p.);kleinen Lampen;
(nějaké) malé lampy (4.p.);kleine Lampen;
nějaký starý stůl (1.p.);ein alter Tisch;
nějaký starý stůl (2.p.);eines alten Tisches;
nějaký starý stůl (3.p.);einem alten Tisch;
nějaký starý stůl (4.p.);einen alten Tisch;
(nějací) mladí lékaři (1.p.);junge Ärzte;
(nějací) mladí lékaři (2.p.);junger Ärzte;
(nějací) mladí lékaři (3.p.);jungen Ärzten;
(nějací) mladí lékaři (4.p.);junge Ärzte;
nějaká krátká postel (1.p.);ein kurzes Bett;
nějaká krátká postel (2.p.);eines kurzen Bettes;
nějaká krátká postel (3.p.);einem kurzen Bett;
nějaká krátká postel (4.p.);ein kurzes Bett;
(nějaké) staré postele (1.p.);alte Betten;
(nějaké) staré postele (2.p.);alter Betten;
(nějaké) staré postele (3.p.);alten Betten;
(nějaké) staré postele (4.p.);alte Betten;
nějaká krátká adresa (1.p.);eine kurze Adresse;
nějaká krátká adresa (2.p.);einer kurzen Adresse;
nějaká krátká adresa (3.p.);einer kurzen Adresse;
nějaká krátká adresa (4.p.);eine kurze Adresse;
(nějaké) černé lampy (1.p.);schwarze Lampen;
(nějaké) černé lampy (2.p.);schwarzer Lampen;
(nějaké) černé lampy (3.p.);schwarzen Lampen;
(nějaké) černé lampy (4.p.);schwarze Lampen;
