Čeština,Němčina,Vysvětlení
některého hořkého medu (2.p.),manches bitteren Honigs,"Genitiv: adjektivum slabě -en, podstatné jméno -s"
každému sladkému medu (3.p.),jedem süßen Honig,Dativ: adjektivum slabě -en
tento hořký med (4.p.),diesen bitteren Honig,Akuzativ: adjektivum slabě -en
můj nejvyšší vrch (1.p.),mein höchster Berg,Superlativ 'höchst' po přivlastňovacím zájmenu bez koncovky je adjektivum silné -er (Berg je maskulinum)
tvého nejvyššího vrchu (2.p.),deines höchsten Berges,"Genitiv: superlativ slabě -en, podstatné jméno -es"
jeho nejvyššímu vrchu (3.p.),seinem höchsten Berg,Dativ: superlativ slabě -en
žádný nejvyšší vrch (4.p.),keinen höchsten Berg,Akuzativ: po 'kein' superlativ slabě -en
některá čerstvá polévka (1.p.),manche frische Suppe,Femininum bez koncovky u podstatného jména; adjektivum slabě -e
každé teplé polévky (2.p.),jeder warmen Suppe,"Genitiv feminina: 'jeder', adjektivum -en"
žádné studené polévce (3.p.),keiner kalten Suppe,"Dativ feminina: 'keiner', adjektivum -en"
všechny dobré polévky (4.p.),alle guten Suppen,"Akuzativ plurálu: 'alle', adjektivum -en"
